date contrôle	N° nationnal	race	nom	n° de travail	n° lactation	n° contrôle	lait	%	tb	tp	etat	leucocyte	date vélâge	jours depuis vélâge	lait depuis vélaĝe	tb	tp	lait standard depuis vélaĝe
04/12/2013	FR1735138701	56	ELIANE 	8701	2	9	18		50,7	39,4		171	07/02/2013 	0	0	0	0	0
04/12/2013	FR1735138741	56	FATMA 	8741	2	2	28,6	+ 	39,9	33,1		240	05/10/2013 	0	0	0	0	0
04/12/2013	FR1735138652	56	DROME 	8652	3	7	11,6	- 	46,4	39,9		244	14/04/2013 	0	0	0	0	0
04/12/2013	FR1735138641	56	DEXTROSE 	8641	3	4	24,6		45,5	39,1		259	22/07/2013 	0	0	0	0	0
04/12/2013	FR1735138587	56	CLAQUETTE 	8587	4	8	14,8		48,7	39,2		267	05/03/2013 	0	0	0	0	0
04/12/2013	FR1735138637	56	DOUCEUR 	8637	3	8	15,6		45,8	39,1		305	05/03/2013 	0	0	0	0	0
04/12/2013	FR1735138788	56	GERMANIE 	8788	1	2	17,6		44	37,1		340	13/09/2013 	0	0	0	0	0
04/12/2013	FR1735138656	56	DORA 	8656	3	8	10,8		52,2	41,7		348	12/03/2013 	0	0	0	0	0
04/12/2013	FR1735138629	56	DOROTHEE 	8629	3	9	12		47,2	42		383	23/02/2013 	0	0	0	0	0
04/12/2013	FR1735138572	56	CORALIE 	8572	4	4	23,8		45	40,1		397	06/08/2013 	0	0	0	0	0
04/12/2013	FR1735138606	56	DEBBIE 	8606	3	10	20,6		47,6	37,6		399	27/01/2013 	0	0	0	0	0
04/12/2013	FR1735138657	56	DJELLABA 	8657	3	7	14,4		49	41,8		404	03/04/2013 	0	0	0	0	0
04/12/2013	FR1735138648	56	DUCHESSE 	8648	3	8	18,2		50,9	41,6		451	16/03/2013 	0	0	0	0	0
04/12/2013	FR1735138643	56	DEAUVILLE 	8643	3	6	13,8	- 	59,6	42,4		507	06/05/2013 	0	0	0	0	0
04/12/2013	FR1735138821	56	GALICE 	8821	1	1	21		35,9	37,4		516	23/11/2013 	0	0	0	0	0
04/12/2013	FR1735138492	56	BRIVE 	8492	5	9	12,4		51,1	46,4		532	04/02/2013 	0	0	0	0	0
04/12/2013	FR1735138664	56	EUROPE 	8664	2	13	12,6		59,7	48,9		555	26/09/2012 	0	0	0	0	0
04/12/2013	FR1735138368	56	VIBRAYE 	8368	7	10	10,6		37,1	41,3		718	22/01/2013 	0	0	0	0	0
04/12/2013	FR1735138811	56	GELA 	8811	1	1	20,2		42,4	37,4		888	14/11/2013 	0	0	0	0	0
04/12/2013	FR1735138508	56	BULGARIE 	8508	6	3	26,4		45	40,8		1208	02/09/2013 	0	0	0	0	0
04/12/2013	FR1735138815	56	GARONNE 	8815	1	1	19,4		40,4	33		1849	20/11/2013 	0	0	0	0	0
04/12/2013	FR1735138466	56	ALSACE 	8466	6	1	34,2		43,4	36,2		3636	20/11/2013 	0	0	0	0	0
04/12/2013	FR1735138670	56	EMILIE 	8670	3	2	21,2	- 	36	37		5075	26/09/2013 	0	0	0	0	0
02/10/2013	FR1735138466	56	ALSACE 	8466	5	10						  	25/11/2012 	0	0	0	0	0
02/10/2013	FR1735138555	56	CATHEDRALE 	8555	4							  	13/11/2012 	0	0	0	0	0
02/10/2013	FR1735138561	56	CORDOUE 	8561	4							  	03/11/2012 	0	0	0	0	0
02/10/2013	FR1735138621	56	DALLAS 	8621	2							  	11/10/2012 	0	0	0	0	0
02/10/2013	FR1735138630	56	DEBACLE 	8630	2							  	23/09/2012 	0	0	0	0	0
02/10/2013	FR1735138670	56	EMILIE 	8670	3							  	26/09/2013 	0	0	0	0	0
02/10/2013	FR1735138674	56	ENIMIE 	8674	2							  	06/11/2012 	0	0	0	0	0
02/10/2013	FR1735138682	56	ESTIVE 	8682	0							  		0	0	0	0	0
02/10/2013	FR1735138690	56	ESTANCIA 	8690	2							  	30/08/2012 	0	0	0	0	0
02/10/2013	FR1735138709	56	ESTONIE 	8709	2							  	28/09/2013 	0	0	0	0	0
02/10/2013	FR1735138728	56	FIUME 	8728	1							  	12/10/2012 	0	0	0	0	0
02/10/2013	FR1735138741	56	FATMA 	8741	1							  	02/10/2012 	0	0	0	0	0
02/10/2013	FR1735138759	56	FIFI 	8759	1	9						  	13/12/2012 	0	0	0	0	0
02/10/2013	FR1735138762	56	FREGATE 	8762	1	9						  	10/12/2012 	0	0	0	0	0
02/10/2013	FR1735138771	56	FAUVETTE 	8771	1							  	06/11/2012 	0	0	0	0	0
02/10/2013	FR1735138801	56	GROZNYI 	8801	1							  	30/09/2013 	0	0	0	0	0
02/10/2013	FR1735138745	56	FABIOLA 	8745	2	1	23,8		39,4	35,1		32	07/09/2013 	0	0	0	0	0
02/10/2013	FR1735138572	56	CORALIE 	8572	4	2	26	+ 	41,7	37,1		33	06/08/2013 	0	0	0	0	0
02/10/2013	FR1735138753	56	FILANTE 	8753	1	2	23,8	+ 	42,5	33,4		45	29/07/2013 	0	0	0	0	0
02/10/2013	FR1735138580	56	CAULERPA 	8580	4	1	30,4		45,1	36		50	17/09/2013 	0	0	0	0	0
02/10/2013	FR1735138689	56	ESSENCE 	8689	1	11	16,2		48,6	36,1		53	03/10/2012 	0	0	0	0	0
02/10/2013	FR1735138780	56	GEORGIE 	8780	1	8	14		44,3	34		55	22/01/2013 	0	0	0	0	0
02/10/2013	FR1735138777	56	FIERTE 	8777	1	8	12,8		47,8	35,9		56	18/01/2013 	0	0	0	0	0
02/10/2013	FR1735138778	56	FLUVIALE 	8778	1	8	15,8		43,4	36		59	19/01/2013 	0	0	0	0	0
02/10/2013	FR1735138666	56	EPOPEE 	8666	3	1	29,6		36,7	32,2		66	09/09/2013 	0	0	0	0	0
02/10/2013	FR1735138692	56	ELECTRA 	8692	2	8	13,2		47,9	39,1		68	04/01/2013 	0	0	0	0	0
02/10/2013	FR1735138687	56	EVA 	8687	2	6	20,6	+ 	40,3	36,8		74	25/03/2013 	0	0	0	0	0
02/10/2013	FR1735138763	56	FIDJI 	8763	1	8	11		42,9	36,2		77	10/01/2013 	0	0	0	0	0
02/10/2013	FR1735138536	56	CYSTEINE 	8536	5	2	28,4		38,1	31,5		78	22/07/2013 	0	0	0	0	0
02/10/2013	FR1735138749	56	FOURMI 	8749	1	9	19		35,7	35,7		78	02/12/2012 	0	0	0	0	0
02/10/2013	FR1735138768	56	FOGGIA 	8768	1	8	13,6		47,8	37,8		80	05/01/2013 	0	0	0	0	0
02/10/2013	FR1735138662	56	DOUMA 	8662	3	1	29,2		40,8	33,8		91	28/08/2013 	0	0	0	0	0
02/10/2013	FR1735138652	56	DROME 	8652	3	5	19		37,8	35,8		97	14/04/2013 	0	0	0	0	0
02/10/2013	FR1735138582	56	CHALOSSE 	8582	4	8	19,6		45,2	37,1		98	13/01/2013 	0	0	0	0	0
02/10/2013	FR1735138656	56	DORA 	8656	3	6	17,4	+ 	41,4	37,2		98	12/03/2013 	0	0	0	0	0
02/10/2013	FR1735138766	56	FLECHE 	8766	1	9	14		46,7	38,3		98	21/12/2012 	0	0	0	0	0
02/10/2013	FR1735138641	56	DEXTROSE 	8641	3	2	26,6	+ 	42,6	34,6		102	22/07/2013 	0	0	0	0	0
02/10/2013	FR1735138587	56	CLAQUETTE 	8587	4	6	19,8	+ 	40,5	33		104	05/03/2013 	0	0	0	0	0
02/10/2013	FR1735138701	56	ELIANE 	8701	2	7	18,6	+ 	41	34,5		105	07/02/2013 	0	0	0	0	0
02/10/2013	FR1735138629	56	DOROTHEE 	8629	3	7	18	+ 	42,5	35,8		120	23/02/2013 	0	0	0	0	0
02/10/2013	FR1735138783	56	GUIPURE 	8783	1	7	14,8	+ 	43	31,2		130	14/02/2013 	0	0	0	0	0
02/10/2013	FR1735138637	56	DOUCEUR 	8637	3	6	19,6	+ 	41,8	36,9		145	05/03/2013 	0	0	0	0	0
02/10/2013	FR1735138781	56	GUIMAUVE 	8781	1	8	14		52,2	34,2		161	27/01/2013 	0	0	0	0	0
02/10/2013	FR1735138664	56	EUROPE 	8664	2	11	14,8		44,5	41,3		170	26/09/2012 	0	0	0	0	0
02/10/2013	FR1735138776	56	FRILEUSE 	8776	1	8	16,4		41,5	36,3		177	25/01/2013 	0	0	0	0	0
02/10/2013	FR1735138748	56	FRIVOLE 	8748	1	9	13		49,1	40,8		180	08/12/2012 	0	0	0	0	0
02/10/2013	FR1735138606	56	DEBBIE 	8606	3	8	21		41	33,5		183	27/01/2013 	0	0	0	0	0
02/10/2013	FR1735138657	56	DJELLABA 	8657	3	5	13	+ 	45,4	36,4		235	03/04/2013 	0	0	0	0	0
02/10/2013	FR1735138368	56	VIBRAYE 	8368	7	8	18		47,5	37,5		249	22/01/2013 	0	0	0	0	0
02/10/2013	FR1735138676	56	EVE 	8676	2	9	13,8		36,9	34,5		258	07/12/2012 	0	0	0	0	0
02/10/2013	FR1735138643	56	DEAUVILLE 	8643	3	4	18,2	- 	41	37,6		294	06/05/2013 	0	0	0	0	0
02/10/2013	FR1735138508	56	BULGARIE 	8508	6	1	29		40,1	34,7		323	02/09/2013 	0	0	0	0	0
02/10/2013	FR1735138492	56	BRIVE 	8492	5	7	12,4		29,7	38,7		338	04/02/2013 	0	0	0	0	0
02/10/2013	FR1735138648	56	DUCHESSE 	8648	3	6	19	+ 	41,7	36,6		343	16/03/2013 	0	0	0	0	0
02/10/2013	FR1735138599	56	CONCHITA 	8599	3	7	13,2	- 	41	42		1720	07/02/2013 	0	0	0	0	0
02/09/2013	FR1735138508	56	BULGARIE 	8508	6							  	02/09/2013 	0	0	0	0	0
02/09/2013	FR1735138555	56	CATHEDRALE 	8555	4	9						  	13/11/2012 	0	0	0	0	0
02/09/2013	FR1735138561	56	CORDOUE 	8561	4	9						  	03/11/2012 	0	0	0	0	0
02/09/2013	FR1735138580	56	CAULERPA 	8580	3	11						  	24/09/2012 	0	0	0	0	0
02/09/2013	FR1735138621	56	DALLAS 	8621	2	10						  	11/10/2012 	0	0	0	0	0
02/09/2013	FR1735138630	56	DEBACLE 	8630	2	11						  	23/09/2012 	0	0	0	0	0
02/09/2013	FR1735138662	56	DOUMA 	8662	3							  	28/08/2013 	0	0	0	0	0
02/09/2013	FR1735138666	56	EPOPEE 	8666	2	10						  	03/10/2012 	0	0	0	0	0
02/09/2013	FR1735138670	56	EMILIE 	8670	2	11						  	08/09/2012 	0	0	0	0	0
02/09/2013	FR1735138674	56	ENIMIE 	8674	2	9						  	06/11/2012 	0	0	0	0	0
02/09/2013	FR1735138682	56	ESTIVE 	8682	2	10						  	15/10/2012 	0	0	0	0	0
02/09/2013	FR1735138690	56	ESTANCIA 	8690	2	11						  	30/08/2012 	0	0	0	0	0
02/09/2013	FR1735138709	56	ESTONIE 	8709	1	10						  	02/10/2012 	0	0	0	0	0
02/09/2013	FR1735138728	56	FIUME 	8728	1	10						  	12/10/2012 	0	0	0	0	0
02/09/2013	FR1735138741	56	FATMA 	8741	1	10						  	02/10/2012 	0	0	0	0	0
02/09/2013	FR1735138745	56	FABIOLA 	8745	1	10						  	28/09/2012 	0	0	0	0	0
02/09/2013	FR1735138771	56	FAUVETTE 	8771	1							  	06/11/2012 	0	0	0	0	0
02/09/2013	FR1735138689	56	ESSENCE 	8689	1	10	13,4		42,5	33,8		62	03/10/2012 	0	0	0	0	0
02/09/2013	FR1735138759	56	FIFI 	8759	1	8	10,6		42,1	32,8		66	13/12/2012 	0	0	0	0	0
02/09/2013	FR1735138780	56	GEORGIE 	8780	1	7	11,8		42,3	32		100	22/01/2013 	0	0	0	0	0
02/09/2013	FR1735138753	56	FILANTE 	8753	1	1	21,2		36,4	31,4		102	29/07/2013 	0	0	0	0	0
02/09/2013	FR1735138687	56	EVA 	8687	2	5	16,6		43,4	35,2		104	25/03/2013 	0	0	0	0	0
02/09/2013	FR1735138692	56	ELECTRA 	8692	2	7	10,8		42,4	36,4		107	04/01/2013 	0	0	0	0	0
02/09/2013	FR1735138656	56	DORA 	8656	3	5	17,2		41,1	35,4		108	12/03/2013 	0	0	0	0	0
02/09/2013	FR1735138768	56	FOGGIA 	8768	1	7	13,2		43,9	35,8		119	05/01/2013 	0	0	0	0	0
02/09/2013	FR1735138748	56	FRIVOLE 	8748	1	8	11		46,1	37,6		120	08/12/2012 	0	0	0	0	0
02/09/2013	FR1735138652	56	DROME 	8652	3	4	21,4		42,7	30,2		122	14/04/2013 	0	0	0	0	0
02/09/2013	FR1735138641	56	DEXTROSE 	8641	3	1	25		39,1	30,5		123	22/07/2013 	0	0	0	0	0
02/09/2013	FR1735138587	56	CLAQUETTE 	8587	4	5	18,2	- 	37,5	31,9		129	05/03/2013 	0	0	0	0	0
02/09/2013	FR1735138701	56	ELIANE 	8701	2	6	16,6		38,7	34		134	07/02/2013 	0	0	0	0	0
02/09/2013	FR1735138536	56	CYSTEINE 	8536	5	1	30		40,9	28,3		139	22/07/2013 	0	0	0	0	0
02/09/2013	FR1735138763	56	FIDJI 	8763	1	7	12	- 	38,9	33,7		146	10/01/2013 	0	0	0	0	0
02/09/2013	FR1735138582	56	CHALOSSE 	8582	4	7	19,2		39,4	34,6		150	13/01/2013 	0	0	0	0	0
02/09/2013	FR1735138762	56	FREGATE 	8762	1	8	14		40	34		155	10/12/2012 	0	0	0	0	0
02/09/2013	FR1735138766	56	FLECHE 	8766	1	8	10,6		45,2	36,6		165	21/12/2012 	0	0	0	0	0
02/09/2013	FR1735138637	56	DOUCEUR 	8637	3	5	18,6		42,6	34,4		167	05/03/2013 	0	0	0	0	0
02/09/2013	FR1735138777	56	FIERTE 	8777	1	7	9,6		47	34,8		175	18/01/2013 	0	0	0	0	0
02/09/2013	FR1735138629	56	DOROTHEE 	8629	3	6	17		37,3	32,9		192	23/02/2013 	0	0	0	0	0
02/09/2013	FR1735138749	56	FOURMI 	8749	1	8	15,4		36,3	34,9		194	02/12/2012 	0	0	0	0	0
02/09/2013	FR1735138606	56	DEBBIE 	8606	3	7	17		42,5	31,7		195	27/01/2013 	0	0	0	0	0
02/09/2013	FR1735138676	56	EVE 	8676	2	8	13,6		37,1	31,2		195	07/12/2012 	0	0	0	0	0
02/09/2013	FR1735138783	56	GUIPURE 	8783	1	6	13,4		38,6	29,5		211	14/02/2013 	0	0	0	0	0
02/09/2013	FR1735138664	56	EUROPE 	8664	2	10	13,2		43,5	37,8		225	26/09/2012 	0	0	0	0	0
02/09/2013	FR1735138368	56	VIBRAYE 	8368	7	7	18,4		38,2	34,9		237	22/01/2013 	0	0	0	0	0
02/09/2013	FR1735138492	56	BRIVE 	8492	5	6	13,4		34,9	37		261	04/02/2013 	0	0	0	0	0
02/09/2013	FR1735138466	56	ALSACE 	8466	5	9	10		46,4	40		273	25/11/2012 	0	0	0	0	0
02/09/2013	FR1735138657	56	DJELLABA 	8657	3	4	12,8		40,2	34,4		392	03/04/2013 	0	0	0	0	0
02/09/2013	FR1735138648	56	DUCHESSE 	8648	3	5	17,4		39,5	34,2		979	16/03/2013 	0	0	0	0	0
02/09/2013	FR1735138599	56	CONCHITA 	8599	3	6	16,4		32,6	34,6		1058	07/02/2013 	0	0	0	0	0
02/09/2013	FR1735138643	56	DEAUVILLE 	8643	3	3	21,6	- 	28,9	32,4		1248	06/05/2013 	0	0	0	0	0
02/09/2013	FR1735138572	56	CORALIE 	8572	4	1	22		39,2	36,1		1762	06/08/2013 	0	0	0	0	0
02/01/2014	FR1735138368 	56	VIBRAYE 	8368	0							  		0	0	0	0	0
02/01/2014	FR1735138466 	56	ALSACE 	8466	6	2	35,8	+ 	40,5	31,7	M 	1381	20/11/2013 	44	1528	42,4	34,7	1682
02/01/2014	FR1735138492 	56	BRIVE 	8492	0							  		0	0	0	0	0
02/01/2014	FR1735138508 	56	BULGARIE 	8508	6	4	24,8		40,1	41,1	M 	550	02/09/2013 	123	3436	41,1	37,6	3862
02/01/2014	FR1735138536 	56	CYSTEINE 	8536	5	5	24,8		40,8	34,9	S 	165	22/07/2013 	165	4624	40,2	31,6	4744
02/01/2014	FR1735138555 	56	CATHEDRALE 	8555	5	2	26,4	- 	32,9	38,7	D 	455	30/10/2013 	65	2140	38,8	33,2	2201
